id|video_path|ground_true|label_prediction|description
0|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Abuse028_x264.mp4|1|1|The person is holding a long object, possibly a weapon, and appears to be aiming it towards the ground, which is highly unusual and potentially dangerous.
1|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Abuse030_x264.mp4|1|1|A person is lying motionless on the ground near a parked white van, which is highly unusual and could indicate a serious incident.
2|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arrest001_x264.mp4|1|1|A person is seen running across an office space, then being tackled by another individual. The person on the ground appears to be struggling.
3|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arrest007_x264.mp4|1|1|The person is holding a knife and appears to be in a threatening or aggressive stance, which is highly unusual and potentially dangerous.
4|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arrest024_x264.mp4|1|1|The motorcycle is driving erratically, weaving between cars and making sudden turns, which is highly unusual and could pose a serious threat to the safety of the drivers and pedestrians.
5|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arrest030_x264.mp4|1|1|The person's rapid and erratic movement through the doorway suggests a potential threat or dangerous behavior.
6|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arrest039_x264.mp4|1|1|The person's sudden and rapid movement towards the camera could indicate a threat or urgency, which is not typical behavior.
7|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson007_x264.mp4|1|1|The person's erratic and quick movements suggest a potential threat or dangerous situation.
8|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson009_x264.mp4|1|0|
9|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson010_x264.mp4|1|1|A person is lying on the ground near a white van, and another person is standing nearby, seemingly in a threatening or dangerous posture.
10|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson011_x264.mp4|1|1|The bright, glowing object with a beam is highly unusual and potentially dangerous.
11|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson016_x264.mp4|1|1|A person is lying on the floor of a bus, seemingly unconscious or injured, with their head resting on a seat. This is highly unusual and potentially dangerous.
12|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson018_x264.mp4|1|1|A car is on fire with flames and smoke billowing out from under the hood, indicating an immediate security threat.
13|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson022_x264.mp4|1|1|The person entering the room is holding a large object that resembles a weapon, which is highly unusual and could be a serious security threat.
14|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson035_x264.mp4|1|1|A bright, intense light source moving rapidly through the frame, creating a blinding effect and causing the camera to momentarily lose focus.
15|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Arson041_x264.mp4|1|1|The person's actions suggest they might be attempting to gain unauthorized access or handling potentially dangerous items.
16|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Assault006_x264.mp4|1|1|A person is lying on the floor in a room, seemingly unconscious or injured, with their head resting on a piece of furniture. This is highly unusual and potentially dangerous.
17|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Assault010_x264.mp4|1|1|The person on the bed appears to be in distress, possibly injured, and the presence of another person in a uniform suggests a serious security or medical situation.
18|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Assault011_x264.mp4|1|1|A person with a weapon is running towards the camera, while another person is holding a bicycle. This is highly unusual and dangerous, indicating a potential threat or dangerous situation.
19|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary005_x264.mp4|1|1|The person is holding a weapon and pointing it at the camera, which is a clear indication of a potential threat.
20|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary017_x264.mp4|1|1|The man's sudden movement and apparent distress suggest a potential threat or danger, as it is not a normal activity in a living room setting.
21|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary018_x264.mp4|1|1|The person is lying on the ground, seemingly injured, with their head down and hands on the ground. They are wearing a dark jacket and light-colored pants. The activity is highly unusual and potentially dangerous.
22|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary021_x264.mp4|1|1|The person appears to be motionless and in an unusual position, which could indicate a dangerous situation.
23|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary024_x264.mp4|1|1|A person is lying on the floor near a desk, seemingly unconscious or in distress, while another individual is standing over them, possibly attempting to assist or restrain them. This situation is highly unusual and could be considered a serious security threat.
24|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary032_x264.mp4|1|1|The standing person's defensive stance and the seated person's tense posture suggest a serious security threat.
25|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary033_x264.mp4|1|0|
26|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary035_x264.mp4|1|1|The person's actions suggest they might be attempting to break into the room or access something that could be dangerous.
27|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary037_x264.mp4|1|1|A person is holding a long object, possibly a weapon, in a threatening stance.
28|/home/mchiesa/agenticvad/datasets/ucf_crime/videos/Burglary061_x264.mp4|1|1|The person's erratic and hurried behavior suggests a potential threat or urgency, which is not typical of normal daily activities.
